title,author,rating,reviews,price,year,fiction flag
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.5,5587,0.35,2017,FALSE
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,10187,1.98,2014,FALSE
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,10187,1.98,2015,FALSE
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,10187,1.98,2016,FALSE
Mockingjay (The Hunger Games),Suzanne Collins,4.6,31945,0.36,2012,TRUE
Mockingjay (The Hunger Games),Suzanne Collins,4.6,31945,0.36,2010,TRUE
Mockingjay (The Hunger Games),Suzanne Collins,4.6,31945,0.36,2011,TRUE
Modern Comfort Food: A Barefoot Contessa Cookbook,Ina Garten,4.8,14319,6.83,2020,FALSE
"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8,55451,5.51,2020,FALSE
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,10561,2.54,2019,FALSE
National Geographic Little Kids First Big Book of Why,Amy Shields,4.8,14335,1.93,2019,FALSE
Night (Night),Elie Wiesel,4.7,3258,7.46,2016,TRUE
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8992,16.2,2012,FALSE
Obama: An Intimate Portrait,Pete Souza,4.9,8907,33.71,2017,FALSE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2014,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2017,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2019,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2015,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2013,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2012,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2016,TRUE
"Oh, the Places You'll Go!",Dr. Seuss,4.9,28241,7.48,2018,TRUE
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,4141,12.99,2012,FALSE
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,4141,12.99,2011,FALSE
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,2658,1.26,2017,FALSE
Origin: A Novel (Robert Langdon),Dan Brown,4.3,27938,15.4,2017,TRUE
Orphan Train,Christina Baker Kline,4.6,23358,9.45,2014,TRUE
Outliers: The Story of Success,Malcolm Gladwell,4.7,17330,14.79,2010,FALSE
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,22459,5.68,2018,TRUE
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,22459,5.68,2019,TRUE
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,4.8,14667,6.73,2020,FALSE
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8,15682,1.25,2020,FALSE
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,883,32.71,2010,TRUE
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.9,34204,24,2018,FALSE
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.9,34204,24,2019,FALSE
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.9,34204,24,2017,FALSE
